team,player,position,status,injury,source
Cleveland Cavaliers,Jarrett Allen,C,Out,Nov 30: The Cavaliers announced Sunday that Allen (finger) is expected to miss at least one week.,ESPN
Cleveland Cavaliers,Larry Nance Jr.,F,Out,Nov 30: An MRI revealed a Grade 1 soleus strain in Nance's right calf and he is expected to miss the next 3-4 weeks of action.,ESPN
Dallas Mavericks,Daniel Gafford,F,Day-To-Day,"Dec 3: Gafford (ankle) won't return to Wednesday's game against the Heat, Joey Mistretta of ClutchPoints.com reports.",ESPN
Dallas Mavericks,P.J. Washington,F,Out,Dec 3: Washington (ankle) will not play in Wednesday's game against the Heat.,ESPN
Dallas Mavericks,Dereck Lively II,C,Out,Dec 2: Lively (foot) has been ruled out for Wednesday's game against the Heat.,ESPN
Dallas Mavericks,Dante Exum,G,Out,Nov 20: The Mavericks announced Thursday that Exum will undergo season-ending knee surgery.,ESPN
Dallas Mavericks,Kyrie Irving,G,Out,"Sep 29: At Media Day on Monday, Mavericks head coach Jason Kidd refuted the report that Irving (knee) is ahead of schedule in his recovery, Christian Clark reports.",ESPN
Denver Nuggets,Spencer Jones,F,Day-To-Day,"Dec 3: Jones (knee) was unable to return to Wednesday's game versus the Pacers, Bennett Durando of The Denver Post reports.",ESPN
Denver Nuggets,Julian Strawther,G,Out,"Dec 1: Strawther (back) remains without a timetable to return, Ryan Blackburn of MileHighSports.com reports.",ESPN
Denver Nuggets,Aaron Gordon,F,Out,"Nov 23: Gordon (hamstring) will be re-evaluated in four to six weeks, Shams Charania of ESPN reports.",ESPN
Denver Nuggets,Christian Braun,G,Out,"Nov 14: Christian Braun (ankle) will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's win over the Clippers, Shams Charania of ESPN reports.",ESPN
Detroit Pistons,Duncan Robinson,F,Out,Dec 3: Robinson (ankle) will not play Wednesday against the Bucks.,ESPN
Detroit Pistons,Bobi Klintman,F,Out,Dec 2: Klintman is out for Wednesday's game against Milwaukee due to a sprained left ankle.,ESPN
Detroit Pistons,Marcus Sasser,G,Out,Dec 2: Detroit assigned Sasser (hip) to the G League's Motor City Cruise on Monday.,ESPN
Golden State Warriors,Alex Toohey,F,Out,Dec 3: Toohey (knee) is out for Thursday's game against the 76ers.,ESPN
Golden State Warriors,Trayce Jackson-Davis,F,Day-To-Day,Dec 3: Jackson-Davis (knee) is questionable for Thursday's game against the 76ers.,ESPN
Golden State Warriors,Quinten Post,C,Day-To-Day,Dec 3: Post is questionable for Thursday's game against the 76ers due to a left ankle sprain.,ESPN
Golden State Warriors,Jonathan Kuminga,F,Day-To-Day,Dec 3: Kuminga (ankle) is questionable for Thursday's game against the 76ers.,ESPN
Golden State Warriors,Al Horford,C,Out,Dec 3: Horford (back) is questionable for Thursday's game against the 76ers.,ESPN
Golden State Warriors,Jimmy Butler III,F,Day-To-Day,Dec 3: Butler is questionable for Thursday's game against the 76ers due to left knee soreness.,ESPN
Golden State Warriors,Stephen Curry,G,Out,"Dec 3: Head coach Steve Kerr said after Tuesday's 124-112 loss to the Thunder that Curry (quadriceps) will miss at least three more games, Sam Gordon of the San Francisco Chronicle reports.",ESPN
Houston Rockets,Tari Eason,F,Out,"Dec 3: Eason (oblique) is targeting a late December return, Michael Shapiro of SI.com reports.",ESPN
Houston Rockets,Dorian Finney-Smith,F,Out,"Dec 3: The Rockets are eyeing January for Finney-Smith (ankle) to make his season debut, Michael Shapiro of SI.com reports.",ESPN
Houston Rockets,Fred VanVleet,G,Out,"Sep 22: VanVleet suffered a torn ACL and may be out for the entire 2025-26 campaign, Shams Charania of ESPN reports.",ESPN
Indiana Pacers,Kam Jones,G,Out,Nov 30: Jones (lower back) has been ruled out for Monday's game against the Cavaliers.,ESPN
Indiana Pacers,Quenton Jackson,G,Out,Nov 30: Jackson (hamstring) will remain on the inactive list for Monday's game against the Cavs.,ESPN
Indiana Pacers,Aaron Nesmith,G,Out,"Nov 15: Nesmith (knee) is expected to be out for around four weeks, Dustin Dopirak of The Indianapolis Star reports.",ESPN
Indiana Pacers,Obi Toppin,F,Out,"Oct 31: Toppin will undergo surgery to place a screw in his right foot Monday, Dustin Dopirak of The Indianapolis Star reports.",ESPN
Indiana Pacers,Tyrese Haliburton,G,Out,"Jul 7: Haliburton will miss the entire 2025-26 season while recovering from surgery on his right Achilles tendon, Shams Charania of ESPN reports.",ESPN
LA Clippers,Jordan Miller,G,Out,Dec 3: Miller (back) will not play Wednesday against the Hawks.,ESPN
LA Clippers,Bogdan Bogdanovic,G,Out,"Dec 2: Bogdanovic (hip) has been ruled out for Wednesday's game against the Hawks, NBA writer Justin Russo reports.",ESPN
LA Clippers,Derrick Jones Jr.,F,Out,"Nov 17: Jones sustained a sprained MCL in his right knee and will be re-evaluated in six weeks, Shams Charania of ESPN reports.",ESPN
LA Clippers,Bradley Beal,G,Out,"Nov 12: Beal will undergo season-ending surgery on his left hip, ESPN's Shams Charania reports.",ESPN
Los Angeles Lakers,Luka Doncic,G,Out,"Dec 3: Doncic won't play in Thursday's game against the Raptors for personal reasons, Dave McMenamin of ESPN.com reports.",ESPN
Los Angeles Lakers,Marcus Smart,G,Out,"Dec 3: Smart (back) will not play Thursday against the Raptors, Dave McMenamin of ESPN.com reports.",ESPN
Memphis Grizzlies,Ja Morant,G,Out,"Dec 1: Morant (calf) is set to be re-evaluated after Tuesday's game against the Spurs, Michael Wallace of the Grizzlies' official site reports.",ESPN
Memphis Grizzlies,Ty Jerome,G,Out,Nov 22: Jerome (calf) will be held out of games for at least 6-to-9 weeks.,ESPN
Memphis Grizzlies,Javon Small,G,Out,"Nov 15: Small (toe) will be re-evaluated in three weeks, the Grizzlies announced Saturday.",ESPN
Memphis Grizzlies,Brandon Clarke,F,Out,"Nov 11: The Grizzlies announced Tuesday that Clarke (knee) is progressing well, but he will be sidelined for another six-to-nine weeks.",ESPN
Memphis Grizzlies,Scotty Pippen Jr.,G,Out,"Oct 18: Pippen will undergo a procedure for a left big toe injury and will be re-evaluated in 12 weeks, ESPN's Shams Charania reported Saturday.",ESPN
Miami Heat,Norman Powell,G,Out,Dec 3: Powell (ankle) is out for Wednesday's game against the Mavericks.,ESPN
Miami Heat,Terry Rozier,G,Out,"Oct 23: The NBA placed Rozier on immediate leave from the Heat on Thursday, ESPN's Shams Charania reports.",ESPN
Milwaukee Bucks,Giannis Antetokounmpo,F,Out,"Dec 3: Antetokounmpo is set to undergo an MRI on his injured right calf Wednesday night, but head coach Doc Rivers believes that the Bucks' medical staff has ruled out an Achilles injury, Eric Nehm of The Athletic reports.",ESPN
Milwaukee Bucks,Taurean Prince,F,Out,Nov 13: Prince underwent surgery Thursday to repair the herniated disc in his neck and will remain out indefinitely.,ESPN
New Orleans Pelicans,Karlo Matkovic,F,Out,Dec 3: Matkovic (calf) is questionable for Thursday's game against Minnesota.,ESPN
New Orleans Pelicans,Herbert Jones,F,Out,Dec 3: Jones (calf) won't play Thursday against the Timberwolves.,ESPN
New Orleans Pelicans,Jordan Poole,G,Out,Dec 3: Poole (quadriceps) is out for Thursday's game against Minnesota.,ESPN
New Orleans Pelicans,Yves Missi,C,Out,"Dec 3: Missi (foot, ankle) won't play in Thursday's game against Minnesota.",ESPN
New Orleans Pelicans,Zion Williamson,F,Out,"Dec 2: Williamson (adductor) will be re-evaluated in three weeks, Shams Charania of ESPN reports.",ESPN
New Orleans Pelicans,Dejounte Murray,G,Out,"Sep 25: ESPN's Shams Charania reported Wednesday that Murray (Achilles) could return right after New Years, according to Pelicans Film Room.",ESPN
New York Knicks,OG Anunoby,F,Out,"Dec 3: Anunoby (hamstring) remains without a timeline for return, but he's progressed to taking contact in practice, Kristian Winfield of the New York Daily News reports.",ESPN
New York Knicks,Mitchell Robinson,C,Out,Dec 3: Robinson (ankle) is out for Wednesday's game against the Hornets.,ESPN
New York Knicks,Kevin McCullar Jr.,G,Day-To-Day,Nov 27: McCullar (nose) signed a two-way contract with the Knicks on Tuesday.,ESPN
New York Knicks,Landry Shamet,G,Out,"Nov 26: Shamet (shoulder) will be re-evaluated in four weeks, Shams Charania of ESPN reports.",ESPN
Oklahoma City Thunder,Luguentz Dort,G,Day-To-Day,Dec 3: Dort has been ruled out for Tuesday's game against the Warriors due to a right adductor strain.,ESPN
Oklahoma City Thunder,Alex Caruso,G,Day-To-Day,Dec 3: Caruso (quad) has been ruled out for Tuesday's game against the Warriors.,ESPN
Oklahoma City Thunder,Isaiah Hartenstein,C,Out,"Nov 29: Hartenstein sustained a right soleus strain and will be re-evaluated in 10-to-14 days, Michael Scotto of USA Today reports.",ESPN
Oklahoma City Thunder,Nikola Topic,G,Out,"Oct 30: Topic has been diagnosed with testicular cancer, Thunder general manager Sam Presti announced Thursday, Justin Martinez of The Oklahoman reports.",ESPN
Oklahoma City Thunder,Thomas Sorber,C,Out,"Sep 5: The Thunder announced Friday that Sorber has sustained a torn ACL in his right knee during an offseason workout, NBA reporter Marc Stein reports.",ESPN
Orlando Magic,Moritz Wagner,F,Out,Dec 2: Wagner (knee) is out for Wednesday's game against the Spurs.,ESPN
Orlando Magic,Paolo Banchero,F,Out,Dec 2: Banchero (groin) will not play Wednesday against the Spurs.,ESPN
Orlando Magic,Colin Castleton,C,Out,"Nov 24: The Magic plan to sign Castleton to a two-way deal, Michael Scotto of USA Today reports.",ESPN
Philadelphia 76ers,Kelly Oubre Jr.,G,Out,Dec 3: Oubre (knee) is out for Thursday's game against the Warriors.,ESPN
Philadelphia 76ers,Quentin Grimes,G,Day-To-Day,Dec 3: Grimes (calf) is questionable for Thursday's game against the Warriors.,ESPN
Philadelphia 76ers,Paul George,F,Day-To-Day,Dec 3: George (knee) is questionable for Thursday's game against the Warriors.,ESPN
Philadelphia 76ers,Joel Embiid,C,Day-To-Day,Dec 3: Embiid (knee) is doubtful for Thursday's game against the Warriors.,ESPN
Philadelphia 76ers,Trendon Watford,F,Out,"Nov 26: Watford (adductor) will be re-evaluated in two weeks, Noah Levick of NBC Sports Philadelphia reports.",ESPN
Phoenix Suns,Devin Booker,G,Out,"Dec 3: Booker (groin) will be re-evaluated in one week, Shams Charania of ESPN reports.",ESPN
Phoenix Suns,Grayson Allen,G,Day-To-Day,"Dec 2: Allen (illness) won't play in Monday's game against the Lakers, Shane Young of Forbes.com reports.",ESPN
Phoenix Suns,Isaiah Livers,F,Out,"Nov 30: Livers (hip) has been ruled out for Monday's game against the Lakers, Duane Rankin of The Arizona Republic reports.",ESPN
Phoenix Suns,Jalen Green,G,Out,"Nov 11: Green (hamstring) will be re-evaluated in four-to-six weeks, Shams Charania of ESPN reports.",ESPN
Portland Trail Blazers,Kris Murray,F,Out,Dec 3: Murray (hip) won't play Wednesday against the Cavs.,ESPN
Portland Trail Blazers,Robert Williams III,C,Out,Dec 3: Williams won't play in Wednesday's game against Cleveland due to knee injury management.,ESPN
Portland Trail Blazers,Matisse Thybulle,G,Out,Dec 1: Thybulle (thumb) has been ruled out for Tuesday's game against the Raptors.,ESPN
Portland Trail Blazers,Scoot Henderson,G,Out,Nov 21: Henderson (hamstring) will be re-evaluated in 2-4 weeks.,ESPN
Portland Trail Blazers,Jrue Holiday,G,Out,Nov 21: Holiday (calf) will be re-evaluated in 1-2 weeks.,ESPN
Portland Trail Blazers,Blake Wesley,G,Out,"Nov 5: Wesley underwent a successful procedure to repair a fracture of the fifth metatarsal base in his right foot Wednesday, and he's expected to be sidelined for 8-12 weeks, Brett Siegel of ClutchPoints.com reports.",ESPN
Portland Trail Blazers,Damian Lillard,G,Out,"Sep 25: Lillard won't be back on the court for the 2025-26 season, as he made clear during an interview with YouTube influencer Speed on Wednesday.",ESPN
Sacramento Kings,Dennis Schroder,G,Out,Dec 3: Schroder (hip) will not play Wednesday against the Rockets.,ESPN
Sacramento Kings,Domantas Sabonis,F,Out,"Nov 20: Sabonis has been diagnosed with a partially torn meniscus in his left knee and is expected to be evaluated in 3-to-4 weeks, Shams Charania of ESPN reports.",ESPN
San Antonio Spurs,Stephon Castle,G,Out,"Dec 2: Head coach Mitch Johnson said that Castle (hip), who has already been ruled out for Tuesday's game against the Grizzlies, won't travel with the team for Wednesday's matchup with Orlando, Mike Finger of the San Antonio Express-News reports.",ESPN
San Antonio Spurs,Victor Wembanyama,F,Out,"Dec 1: Wembanyama (calf) remains without an official timetable to return, and according to Jeff McDonald of the San Antonio Express-News, it's unlikely that Wembanyama will play during the NBA Cup.",ESPN
San Antonio Spurs,Jordan McLaughlin,G,Out,"Dec 1: McLaughlin (hamstring) has been ruled out for Tuesday's game against the Grizzlies, Paul Garcia of ProjectSpurs.com reports.",ESPN
Toronto Raptors,Jakob Poeltl,C,Out,"Dec 3: Poeltl (rest) will sit out Thursday's game against the Lakers, Josh Lewenberg of TSN.ca reports.",ESPN
Toronto Raptors,A.J. Lawson,G,Day-To-Day,"Dec 2: Lawson signed a two-way contract with the Raptors on Saturday, Michael Scotto of USA Today reports.",ESPN
Toronto Raptors,RJ Barrett,F,Out,"Nov 26: The Raptors announced Wednesday that an MRI on Barrett's right knee revealed no structural damage, Esfandiar Baraheni of The Athletic reports. He has been diagnosed with a sprain and will be re-evaluated in seven days before the team updates his status.",ESPN
Utah Jazz,Jusuf Nurkic,C,Day-To-Day,Dec 3: Nurkic is questionable for Thursday's game in Brooklyn due to a right rib contusion.,ESPN
Utah Jazz,Kevin Love,F,Out,Dec 3: Love (rest) is out for Thursday's game against the Nets.,ESPN
Utah Jazz,Georges Niang,F,Out,"Nov 22: Niang will have his left foot injury re-evaluated by Jazz medical staff in 10-to-14 days, Ben Anderson of KSL News Salt Lake City reports.",ESPN
Utah Jazz,Walker Kessler,C,Out,"Nov 5: Kessler will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, Tony Jones of The Athletic reports.",ESPN
Washington Wizards,Bilal Coulibaly,G,Out,"Dec 3: Coulibaly (oblique) is likely to be sidelined for multiple weeks, Josh Robbins of The Athletic reports.",ESPN
Washington Wizards,Sharife Cooper,G,Out,Dec 3: Cooper (calf) won't play in Thursday's game against Boston.,ESPN
Washington Wizards,Alex Sarr,C,Out,Dec 3: Sarr (thigh) has been ruled out for Thursday's game against the Celtics.,ESPN
Washington Wizards,Corey Kispert,F,Out,"Nov 27: Kispert suffered a fractured right thumb Tuesday and is expected to miss a few weeks of action, Josh Robbins of The Athletic reports.",ESPN
Washington Wizards,Tre Johnson,G,Out,"Nov 24: Johnson has a strained left hip flexor and doesn't have a timetable to return, Josh Robbins of The Athletic reports.",ESPN
