team,player,position,status,injury,source
Charlotte Hornets,Ryan Kalkbrenner,C,Day-To-Day,Dec 4: Kalkbrenner is questionable for Friday's game against the Raptors with a left ankle contusion.,ESPN
Charlotte Hornets,Brandon Miller,F,Day-To-Day,Dec 4: Miller (shoulder) is being listed as questionable for Friday's game versus the Raptors.,ESPN
Charlotte Hornets,Pat Connaughton,G,Out,Dec 4: Connaughton (calf) is out for Friday's game against the Raptors.,ESPN
Charlotte Hornets,LaMelo Ball,G,Day-To-Day,Dec 4: Ball (wrist) is probable for Friday's game in Toronto.,ESPN
Charlotte Hornets,Collin Sexton,G,Out,Dec 4: Sexton has been ruled out for Friday's game in Toronto due to a left thigh strain.,ESPN
Charlotte Hornets,Grant Williams,F,Out,Dec 2: Williams (knee) was spotted participating in the Hornets' morning shootaround prior to Monday's 116-103 loss to the Nets.,ESPN
Charlotte Hornets,Josh Green,G,Out,"Dec 2: Charlotte assigned Green (shoulder) to the G League's Greensboro Swarm on Tuesday, Roderick Boone of The Charlotte Observer reports.",ESPN
Chicago Bulls,Patrick Williams,F,Day-To-Day,Dec 4: Williams is considered probable for Friday's game against the Pacers due to a left wrist sprain.,ESPN
Chicago Bulls,Zach Collins,F,Out,Dec 4: Collins (wrist) is questionable for Friday's game against the Pacers.,ESPN
Chicago Bulls,Jalen Smith,F,Out,Dec 4: Smith (hamstring) is listed as doubtful for Friday's game against the Pacers.,ESPN
Chicago Bulls,Dalen Terry,F,Day-To-Day,Dec 4: Terry (calf) is listed as probable for Friday's game against the Pacers.,ESPN
Chicago Bulls,Isaac Okoro,F,Out,Dec 4: Okoro (back) is doubtful to play Friday against the Pacers.,ESPN
Chicago Bulls,Tre Jones,G,Day-To-Day,Dec 4: Jones (ankle) is doubtful for Friday's game against Indiana.,ESPN
Chicago Bulls,Ayo Dosunmu,G,Day-To-Day,Dec 4: Dosunmu is questionable for Friday's game against the Pacers due to a right thumb sprain.,ESPN
Chicago Bulls,Coby White,G,Out,Dec 4: White (calf) is questionable for Friday's game against the Pacers.,ESPN
Chicago Bulls,Kevin Huerter,G,Out,"Dec 3: Huerter (hamstring) will miss at least one week of action before he's re-evaluated, Will Gottlieb of AllCHGO.com reports.",ESPN
Chicago Bulls,Noa Essengue,F,Out,"Dec 3: Essengue will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, K.C. Johnson of Chicago Sports Network reports.",ESPN
Cleveland Cavaliers,Tyrese Proctor,G,Out,Dec 4: Proctor is out for Friday's game against the Spurs for personal reasons.,ESPN
Cleveland Cavaliers,Sam Merrill,G,Out,Dec 4: Merrill (hand) is out for Friday's game against the Spurs.,ESPN
Cleveland Cavaliers,Darius Garland,G,Out,Dec 4: Garland (toe) will miss Friday's game against the Spurs.,ESPN
Cleveland Cavaliers,Max Strus,G,Out,Dec 2: Strus (foot) has been ruled out for Wednesday's game against the Trail Blazers.,ESPN
Cleveland Cavaliers,Jarrett Allen,C,Out,Nov 30: The Cavaliers announced Sunday that Allen (finger) is expected to miss at least one week.,ESPN
Cleveland Cavaliers,Larry Nance Jr.,F,Out,Nov 30: An MRI revealed a Grade 1 soleus strain in Nance's right calf and he is expected to miss the next 3-4 weeks of action.,ESPN
Dallas Mavericks,Daniel Gafford,F,Day-To-Day,Dec 4: Gafford (ankle) is questionable for Friday's game in Oklahoma City.,ESPN
Dallas Mavericks,P.J. Washington,F,Out,Dec 4: Washington is questionable for Friday's game against the Thunder with a right ankle sprain.,ESPN
Dallas Mavericks,Dereck Lively II,C,Out,"Dec 4: The Mavericks announced Thursday that Lively (foot) has no timetable for a return, Brett Siegel of ClutchPoints.com reports.",ESPN
Dallas Mavericks,Dante Exum,G,Out,Nov 20: The Mavericks announced Thursday that Exum will undergo season-ending knee surgery.,ESPN
Dallas Mavericks,Kyrie Irving,G,Out,"Sep 29: At Media Day on Monday, Mavericks head coach Jason Kidd refuted the report that Irving (knee) is ahead of schedule in his recovery, Christian Clark reports.",ESPN
Denver Nuggets,Spencer Jones,F,Day-To-Day,Dec 4: Jones (knee) is questionable for Friday's game against the Hawks.,ESPN
Denver Nuggets,Julian Strawther,G,Out,"Dec 1: Strawther (back) remains without a timetable to return, Ryan Blackburn of MileHighSports.com reports.",ESPN
Denver Nuggets,Aaron Gordon,F,Out,"Nov 23: Gordon (hamstring) will be re-evaluated in four to six weeks, Shams Charania of ESPN reports.",ESPN
Denver Nuggets,Christian Braun,G,Out,"Nov 14: Christian Braun (ankle) will be re-evaluated in six weeks after suffering a left ankle sprain during Wednesday's win over the Clippers, Shams Charania of ESPN reports.",ESPN
Detroit Pistons,Marcus Sasser,G,Out,Dec 4: Sasser (hip) is questionable to play Friday against the Trail Blazers.,ESPN
Detroit Pistons,Duncan Robinson,F,Day-To-Day,Dec 4: Robinson (ankle) is questionable for Friday's game against the Trail Blazers.,ESPN
Detroit Pistons,Bobi Klintman,F,Out,Dec 4: Klintman (ankle) has been ruled out for Friday's game against Portland.,ESPN
Golden State Warriors,Draymond Green,F,Day-To-Day,"Dec 4: Green was wearing a walking boot after Thursday's game against the 76ers but intends to continue playing through a right foot injury, Anthony Slater of ESPN.com reports.",ESPN
Golden State Warriors,Jimmy Butler III,F,Out,"Dec 4: Butler (knee) will not play Thursday against the 76ers, Anthony Slater of ESPN.com reports.",ESPN
Golden State Warriors,Alex Toohey,F,Out,Dec 3: Toohey (knee) is out for Thursday's game against the 76ers.,ESPN
Golden State Warriors,Stephen Curry,G,Out,"Dec 3: Head coach Steve Kerr said after Tuesday's 124-112 loss to the Thunder that Curry (quadriceps) will miss at least three more games, Sam Gordon of the San Francisco Chronicle reports.",ESPN
Houston Rockets,Tari Eason,F,Out,"Dec 3: Eason (oblique) is targeting a late December return, Michael Shapiro of SI.com reports.",ESPN
Houston Rockets,Dorian Finney-Smith,F,Out,"Dec 3: The Rockets are eyeing January for Finney-Smith (ankle) to make his season debut, Michael Shapiro of SI.com reports.",ESPN
Houston Rockets,Fred VanVleet,G,Out,"Sep 22: VanVleet suffered a torn ACL and may be out for the entire 2025-26 campaign, Shams Charania of ESPN reports.",ESPN
Indiana Pacers,Ben Sheppard,G,Out,Dec 4: Sheppard is out for Friday's game against the Bulls with a left calf strain.,ESPN
Indiana Pacers,Kam Jones,G,Out,Nov 30: Jones (lower back) has been ruled out for Monday's game against the Cavaliers.,ESPN
Indiana Pacers,Quenton Jackson,G,Out,Nov 30: Jackson (hamstring) will remain on the inactive list for Monday's game against the Cavs.,ESPN
Indiana Pacers,Aaron Nesmith,G,Out,"Nov 15: Nesmith (knee) is expected to be out for around four weeks, Dustin Dopirak of The Indianapolis Star reports.",ESPN
Indiana Pacers,Obi Toppin,F,Out,"Oct 31: Toppin will undergo surgery to place a screw in his right foot Monday, Dustin Dopirak of The Indianapolis Star reports.",ESPN
Indiana Pacers,Tyrese Haliburton,G,Out,"Jul 7: Haliburton will miss the entire 2025-26 season while recovering from surgery on his right Achilles tendon, Shams Charania of ESPN reports.",ESPN
LA Clippers,Jordan Miller,G,Day-To-Day,Dec 4: Miller (back) is listed as questionable for Friday's game against the Grizzlies.,ESPN
LA Clippers,Bogdan Bogdanovic,G,Out,"Dec 4: Bogdanovic (hip) is out for Friday's game against Memphis, NBA writer Justin Russoreports.",ESPN
LA Clippers,Derrick Jones Jr.,F,Out,"Nov 17: Jones sustained a sprained MCL in his right knee and will be re-evaluated in six weeks, Shams Charania of ESPN reports.",ESPN
LA Clippers,Bradley Beal,G,Out,"Nov 12: Beal will undergo season-ending surgery on his left hip, ESPN's Shams Charania reports.",ESPN
Los Angeles Lakers,Luka Doncic,G,Out,"Dec 3: Doncic won't play in Thursday's game against the Raptors for personal reasons, Dave McMenamin of ESPN.com reports.",ESPN
Los Angeles Lakers,Marcus Smart,G,Out,"Dec 3: Smart (back) will not play Thursday against the Raptors, Dave McMenamin of ESPN.com reports.",ESPN
Memphis Grizzlies,Ja Morant,G,Out,Dec 4: Morant (calf) won't play in Friday's game against the Clippers.,ESPN
Memphis Grizzlies,Ty Jerome,G,Out,Nov 22: Jerome (calf) will be held out of games for at least 6-to-9 weeks.,ESPN
Memphis Grizzlies,Javon Small,G,Out,"Nov 15: Small (toe) will be re-evaluated in three weeks, the Grizzlies announced Saturday.",ESPN
Memphis Grizzlies,Brandon Clarke,F,Out,"Nov 11: The Grizzlies announced Tuesday that Clarke (knee) is progressing well, but he will be sidelined for another six-to-nine weeks.",ESPN
Memphis Grizzlies,Scotty Pippen Jr.,G,Out,"Oct 18: Pippen will undergo a procedure for a left big toe injury and will be re-evaluated in 12 weeks, ESPN's Shams Charania reported Saturday.",ESPN
Miami Heat,Norman Powell,G,Day-To-Day,Dec 4: Powell (ankle) is questionable to play Friday in Orlando.,ESPN
Miami Heat,Tyler Herro,G,Day-To-Day,Dec 4: Herro is questionable for Friday's game in Orlando due to irritation in his right big toe.,ESPN
Miami Heat,Terry Rozier,G,Out,"Oct 23: The NBA placed Rozier on immediate leave from the Heat on Thursday, ESPN's Shams Charania reports.",ESPN
Milwaukee Bucks,Giannis Antetokounmpo,F,Out,"Dec 4: Antetokounmpo (calf) is expected to be sidelined for two-to-four weeks, ESPN's Shams Charania reports.",ESPN
Milwaukee Bucks,Taurean Prince,F,Out,Nov 13: Prince underwent surgery Thursday to repair the herniated disc in his neck and will remain out indefinitely.,ESPN
New Orleans Pelicans,Herbert Jones,F,Out,Dec 3: Jones (calf) won't play Thursday against the Timberwolves.,ESPN
New Orleans Pelicans,Jordan Poole,G,Out,Dec 3: Poole (quadriceps) is out for Thursday's game against Minnesota.,ESPN
New Orleans Pelicans,Yves Missi,C,Out,"Dec 3: Missi (foot, ankle) won't play in Thursday's game against Minnesota.",ESPN
New Orleans Pelicans,Zion Williamson,F,Out,"Dec 2: Williamson (adductor) will be re-evaluated in three weeks, Shams Charania of ESPN reports.",ESPN
New Orleans Pelicans,Dejounte Murray,G,Out,"Sep 25: ESPN's Shams Charania reported Wednesday that Murray (Achilles) could return right after New Years, according to Pelicans Film Room.",ESPN
New York Knicks,OG Anunoby,F,Out,"Dec 4: Anunoby (hamstring) is being listed as questionable for Friday's game versus Utah, Stefan Bondy of The New York Post reports.",ESPN
New York Knicks,Kevin McCullar Jr.,G,Day-To-Day,Nov 27: McCullar (nose) signed a two-way contract with the Knicks on Tuesday.,ESPN
New York Knicks,Landry Shamet,G,Out,"Nov 26: Shamet (shoulder) will be re-evaluated in four weeks, Shams Charania of ESPN reports.",ESPN
Oklahoma City Thunder,Luguentz Dort,G,Out,"Dec 4: Dort (thigh) won't play Friday versus the Mavericks, Clemente Almanza of USA Today reports.",ESPN
Oklahoma City Thunder,Alex Caruso,G,Out,"Dec 4: Caruso (quad) will remain on the inactive list for Friday's game versus Dallas, Clemente Almanza of USA Today reports.",ESPN
Oklahoma City Thunder,Isaiah Hartenstein,C,Out,"Nov 29: Hartenstein sustained a right soleus strain and will be re-evaluated in 10-to-14 days, Michael Scotto of USA Today reports.",ESPN
Oklahoma City Thunder,Nikola Topic,G,Out,"Oct 30: Topic has been diagnosed with testicular cancer, Thunder general manager Sam Presti announced Thursday, Justin Martinez of The Oklahoman reports.",ESPN
Oklahoma City Thunder,Thomas Sorber,C,Out,"Sep 5: The Thunder announced Friday that Sorber has sustained a torn ACL in his right knee during an offseason workout, NBA reporter Marc Stein reports.",ESPN
Orlando Magic,Paolo Banchero,F,Out,"Dec 4: Banchero (groin) is questionable for Friday's game against the Heat, Jason Beede of the Orlando Sentinel reports.",ESPN
Orlando Magic,Moritz Wagner,F,Out,Dec 2: Wagner (knee) is out for Wednesday's game against the Spurs.,ESPN
Orlando Magic,Colin Castleton,C,Out,"Nov 24: The Magic plan to sign Castleton to a two-way deal, Michael Scotto of USA Today reports.",ESPN
Philadelphia 76ers,Paul George,F,Out,"Dec 4: George (knee) will not play Thursday against the Warriors, Noah Levick of NBC Sports Philadelphia reports.",ESPN
Philadelphia 76ers,Kelly Oubre Jr.,G,Out,Dec 3: Oubre (knee) is out for Thursday's game against the Warriors.,ESPN
Philadelphia 76ers,Trendon Watford,F,Out,"Nov 26: Watford (adductor) will be re-evaluated in two weeks, Noah Levick of NBC Sports Philadelphia reports.",ESPN
Phoenix Suns,Isaiah Livers,F,Out,Dec 4: Livers (hip) is listed as questionable for Friday's game against the Rockets.,ESPN
Phoenix Suns,Devin Booker,G,Out,"Dec 3: Booker (groin) will be re-evaluated in one week, Shams Charania of ESPN reports.",ESPN
Phoenix Suns,Jalen Green,G,Out,"Nov 11: Green (hamstring) will be re-evaluated in four-to-six weeks, Shams Charania of ESPN reports.",ESPN
Portland Trail Blazers,Kris Murray,F,Day-To-Day,Dec 4: Murray (hip) is listed as questionable for Friday's game against the Pistons.,ESPN
Portland Trail Blazers,Robert Williams III,C,Day-To-Day,Dec 4: Williams (knee) is questionable  for Friday's game against the Pistons.,ESPN
Portland Trail Blazers,Donovan Clingan,C,Day-To-Day,Dec 4: Clingan (leg) is questionable for Friday's game against the Pistons.,ESPN
Portland Trail Blazers,Jrue Holiday,G,Out,Dec 4: Holiday (calf) is out for Friday's game against the Pistons.,ESPN
Portland Trail Blazers,Matisse Thybulle,G,Out,Dec 1: Thybulle (thumb) has been ruled out for Tuesday's game against the Raptors.,ESPN
Portland Trail Blazers,Scoot Henderson,G,Out,Nov 21: Henderson (hamstring) will be re-evaluated in 2-4 weeks.,ESPN
Portland Trail Blazers,Blake Wesley,G,Out,"Nov 5: Wesley underwent a successful procedure to repair a fracture of the fifth metatarsal base in his right foot Wednesday, and he's expected to be sidelined for 8-12 weeks, Brett Siegel of ClutchPoints.com reports.",ESPN
Portland Trail Blazers,Damian Lillard,G,Out,"Sep 25: Lillard won't be back on the court for the 2025-26 season, as he made clear during an interview with YouTube influencer Speed on Wednesday.",ESPN
Sacramento Kings,Dennis Schroder,G,Out,Dec 3: Schroder (hip) will not play Wednesday against the Rockets.,ESPN
Sacramento Kings,Domantas Sabonis,F,Out,"Nov 20: Sabonis has been diagnosed with a partially torn meniscus in his left knee and is expected to be evaluated in 3-to-4 weeks, Shams Charania of ESPN reports.",ESPN
San Antonio Spurs,Luke Kornet,C,Day-To-Day,"Dec 4: Kornet is questionable to play Friday in Cleveland due to left ankle soreness, Paul Garcia of ProjectSpurs.com reports.",ESPN
San Antonio Spurs,Stephon Castle,G,Out,"Dec 4: Castle (hip) has been ruled out for Friday's game against the Cavaliers, Paul Garcia of ProjectSpurs.com reports.",ESPN
San Antonio Spurs,Victor Wembanyama,F,Out,"Dec 1: Wembanyama (calf) remains without an official timetable to return, and according to Jeff McDonald of the San Antonio Express-News, it's unlikely that Wembanyama will play during the NBA Cup.",ESPN
San Antonio Spurs,Jordan McLaughlin,G,Out,"Dec 1: McLaughlin (hamstring) has been ruled out for Tuesday's game against the Grizzlies, Paul Garcia of ProjectSpurs.com reports.",ESPN
Toronto Raptors,Ochai Agbaji,G,Out,Dec 4: Agbaji (personal reasons) will not play Thursday against the Lakers.,ESPN
Toronto Raptors,Jakob Poeltl,C,Out,"Dec 3: Poeltl (rest) will sit out Thursday's game against the Lakers, Josh Lewenberg of TSN.ca reports.",ESPN
Toronto Raptors,RJ Barrett,F,Out,"Nov 26: The Raptors announced Wednesday that an MRI on Barrett's right knee revealed no structural damage, Esfandiar Baraheni of The Athletic reports. He has been diagnosed with a sprain and will be re-evaluated in seven days before the team updates his status.",ESPN
Utah Jazz,Jusuf Nurkic,C,Out,Dec 4: Nurkic (ribs) has been ruled out for Thursday's game against the Nets.,ESPN
Utah Jazz,Kevin Love,F,Out,Dec 3: Love (rest) is out for Thursday's game against the Nets.,ESPN
Utah Jazz,Georges Niang,F,Out,"Nov 22: Niang will have his left foot injury re-evaluated by Jazz medical staff in 10-to-14 days, Ben Anderson of KSL News Salt Lake City reports.",ESPN
Utah Jazz,Walker Kessler,C,Out,"Nov 5: Kessler will undergo left shoulder surgery and will miss the remainder of the 2025-26 season, Tony Jones of The Athletic reports.",ESPN
Washington Wizards,Bilal Coulibaly,G,Out,"Dec 3: Coulibaly (oblique) is likely to be sidelined for multiple weeks, Josh Robbins of The Athletic reports.",ESPN
Washington Wizards,Sharife Cooper,G,Out,Dec 3: Cooper (calf) won't play in Thursday's game against Boston.,ESPN
Washington Wizards,Alex Sarr,C,Out,Dec 3: Sarr (thigh) has been ruled out for Thursday's game against the Celtics.,ESPN
Washington Wizards,Corey Kispert,F,Out,"Nov 27: Kispert suffered a fractured right thumb Tuesday and is expected to miss a few weeks of action, Josh Robbins of The Athletic reports.",ESPN
Washington Wizards,Tre Johnson,G,Out,"Nov 24: Johnson has a strained left hip flexor and doesn't have a timetable to return, Josh Robbins of The Athletic reports.",ESPN
